rdf ID,rdf Label1,rdf Label2,rdf comment,rdf-class,rdf-class
JFAZ,JFAZ,Jugendfeuerwehrausbildungszentrum,,Einrichtung,
FMA,FMA,Feuerwehrmann-Anwärter,,Einsatzkraft,
FFA,FFA,Feuerwehrfrau-Anwärterin,,Einsatzkraft,
FM,FM,Feuerwehrmann,,Einsatzkraft,
FF1,FF,Feuerwehrfrau,,Einsatzkraft,
OFM,OFM,Oberfeuerwehrmann,,Einsatzkraft,
HFM,HFM,Hauptfeuerwehrmann,,Einsatzkraft,
LM,LM,Löschmeister,,Einsatzkraft,
OLM,OLM,Oberlöschmeister,,Einsatzkraft,
HLM,HLM,Hauptlöschmeister,,Einsatzkraft,
BM,BM,Brandmeister,,Einsatzkraft,
OBM,OBM,Oberbrandmeister,,Einsatzkraft,
HBM,HBM,Hauptbrandmeister,,Einsatzkraft,
BIA,BIA,Brandinspektoranwärter,,Einsatzkraft,
BI,BI,Brandinspektor,,Einsatzkraft,
BOI,BOI,Brandoberinspektor,,Einsatzkraft,
OBI,OBI,Oberbrandinspektor,,Einsatzkraft,
BA,BA,Brandamtmann,,Einsatzkraft,
BOA,BOA,Brandoberamtmann,,Einsatzkraft,
BAR,BAR,Brandamtsrat,,Einsatzkraft,
BOAR,BOAR,Brandoberamtsrat,,Einsatzkraft,
BRef,BRef,Brandreferendar,,Einsatzkraft,
BAss,BAss,Bradassessor,,Einsatzkraft,
BR,BR,Brandrat,,Einsatzkraft,
OBR,OBR,Oberbrandrat,,Einsatzkraft,
BD,BD,Branddirektor,,Einsatzkraft,
LtdBD,LtdBD,Leitender Branddirektor,,Einsatzkraft,
OBD,OBD,Oberbranddirektor,,Einsatzkraft,
LBD,LBD,Landesbranddirektor,,Einsatzkraft,
StBM,StBM,Stadtbrandmeister,,Einsatzkraft,
StBI,StBI,Stadtbrandinspektor,,Einsatzkraft,
StBR,StBR,Stadtbrandrat,,Einsatzkraft,
StFI,StFI,Stadtfeuerwehrinspekteur,,Einsatzkraft,
Kdt,Kdt,Kommandant,,Einsatzkraft,
WeFü,WeFü,Wehrführer,,Einsatzkraft,
GemBM,GemBM,Gemeindebrandmeister,,Einsatzkraft,
OrtsBM,OrtsBM,Ortsbrandmeister,,Einsatzkraft,
BeFü,BeFü,Bereichsführer,,Einsatzkraft,
KBM,KBM,Kreisbrandmeister,,Einsatzkraft,
AL,AL,Abschnittsleiter,,Einsatzkraft,
KBI,KBI,Kreisbrandinspektor,Kreisbrandinspekteur,Einsatzkraft,
KBR,KBR,Kreisbrandrat,,Einsatzkraft,
KFI,KFI,Kreisfeuerwehrinspektor,,Einsatzkraft,
BBM,BBM,Bezirksbrandmeister,,Einsatzkraft,
BBI,BBI,Bezirksbrandinspektor,Bezirksbrandinspekteur,Einsatzkraft,
BBD,BBD,Bezirksbranddirektor,,Einsatzkraft,
BFI,BFI,Bezirksfeuerwehrinspekteur,,Einsatzkraft,
LBF,LBF,Landesbereichsführer,,Einsatzkraft,
LBM,LBM,Landesbrandmeister,,Einsatzkraft,
BIng,BIng,Brandingenieur,,Einsatzkraft,
BOIng,BOIng,Brandoberingenieur,,Einsatzkraft,
BVIng,BVIng,Brandverhütungsingenieur,,Einsatzkraft,
RegBR,RegBR,Regierungsbrandrat,,Einsatzkraft,
ORegBR,ORegBR,Oberregierungsbrandrat,,Einsatzkraft,
RegBD,RegBD,Regierungsbranddirektor,,Einsatzkraft,
LBI,LBI,Landesbrandinspekteur,,Einsatzkraft,
LFI,LFI,Landesfeuerwehrinspekteur,,Einsatzkraft,
MZ,MZ,Musikzug,,Musikkapelle,
MZFü,MZFü,Musikzugführer,,Musikkapelle,
SpZ,SpZ,Spielmannszug,,Musikkapelle,
SpZFü,SpZFü,Spielmannszugführer,,Musikkapelle,
FZ,FZ,Fanfarenzug,,Musikkapelle,
FZFü,FZFü,Fanfarenzugführer,,Musikkapelle,
OFF,OFF,Oberfeuerwehrfrau,,Einsatzkraft,
HFF,HFF,Hauptfeuerwehrfrau,,Einsatzkraft,
LM1,LM,Löschmeisterin,,Einsatzkraft,
OLM1,OLM,Oberlöschmeisterin,,Einsatzkraft,
HLM1,HLM,Hauptlöschmeisterin,,Einsatzkraft,
BM1,BM,Brandmeisterin,,Einsatzkraft,
OBM1,OBM,Oberbrandmeisterin,,Einsatzkraft,
HBM1,HBM,Hauptbrandmeisterin,,Einsatzkraft,
BIA1,BIA,Brandinspektoranwärterin,,Einsatzkraft,
BI1,BI,Brandinspektorin,,Einsatzkraft,
BOI1,BOI,Brandoberinspektorin,,Einsatzkraft,
OBI1,OBI,Oberbrandinspektorin,,Einsatzkraft,
BA1,BA,Brandamtfrau,,Einsatzkraft,
BOA1,BOA,Brandoberamtfrau,,Einsatzkraft,
BAR1,BAR,Brandamtsrätin,,Einsatzkraft,
BOAR1,BOAR,Brandoberamtsrätin,,Einsatzkraft,
BRef1,BRef,Brandreferendarin,,Einsatzkraft,
BAss1,BAss,Bradassessorin,,Einsatzkraft,
BR1,BR,Brandrätin,,Einsatzkraft,
OBR1,OBR,Oberbrandrätin,,Einsatzkraft,
BD1,BD,Branddirektorin,,Einsatzkraft,
LtdBD1,LtdBD,Leitender Branddirektorin,,Einsatzkraft,
OBD1,OBD,Oberbranddirektorin,,Einsatzkraft,
LBD1,LBD,Landesbranddirektorin,,Einsatzkraft,
StBM1,StBM,Stadtbrandmeisterin,,Einsatzkraft,
StBI1,StBI,Stadtbrandinspektorin,,Einsatzkraft,
StBR1,StBR,Stadtbrandrätin,,Einsatzkraft,
StFI1,StFI,Stadtfeuerwehrinspekteurin,,Einsatzkraft,
Kdt1,Kdt,Kommandantin,,Einsatzkraft,
WeFü1,WeFü,Wehrführerin,,Einsatzkraft,
GemBM1,GemBM,Gemeindebrandmeisterin,,Einsatzkraft,
OrtsBM1,OrtsBM,Ortsbrandmeisterin,,Einsatzkraft,
BeFü1,BeFü,Bereichsführerin,,Einsatzkraft,
KBM1,KBM,Kreisbrandmeisterin,,Einsatzkraft,
AL1,AL,Abschnittsleiterin,,Einsatzkraft,
KBI1,KBI,Kreisbrandinspektorin ,Kreisbrandinspekteurin,Einsatzkraft,
KBR1,KBR,Kreisbrandrätin,,Einsatzkraft,
KFI1,KFI,Kreisfeuerwehrinspektorin,,Einsatzkraft,
BBM1,BBM,Bezirksbrandmeisterin,,Einsatzkraft,
BBI1,BBI,Bezirksbrandinspektorin,Bezirksbrandinspekteurin,Einsatzkraft,
BBD1,BBD,Bezirksbranddirektorin,,Einsatzkraft,
BFI1,BFI,Bezirksfeuerwehrinspekteurin,,Einsatzkraft,
LBF1,LBF,Landesbereichsführerin,,Einsatzkraft,
LBM1,LBM,Landesbrandmeisterin,,Einsatzkraft,
BIng1,BIng,Brandingenieurin,,Einsatzkraft,
BOIng1,BOIng,Brandoberingenieurin,,Einsatzkraft,
BVIng1,BVIng,Brandverhütungsingenieurin,,Einsatzkraft,
RegBR1,RegBR,Regierungsbrandrätin,,Einsatzkraft,
ORegBR1,ORegBR,Oberregierungsbrandrätin,,Einsatzkraft,
RegBD1,RegBD,Regierungsbranddirektorin,,Einsatzkraft,
LBI1,LBI,Landesbrandinspekteurin,,Einsatzkraft,
LFI1,LFI,Landesfeuerwehrinspekteurin,,Einsatzkraft,
SpZFü1,SpZFü,Spielmannszugführerin,,Musikkapelle,
FZFü1,FZFü,Fanfarenzugführerin,,Musikkapelle,
DL3,DL(K) 23-12,Drehleiter,"Drehleiter (mit Korb), mind. 23 m, Rettungshöhe und mind. 12 m Ausladung",Hubrettungsfahrzeug,
GM,GM,Gelenkmast mit Korb,,Hubrettungsfahrzeug,
TM1,TM,Teleskopmast mit Korb,,Hubrettungsfahrzeug,
DLK,DLK,Drehleiter mit Korb,,Hubrettungsfahrzeug,
RW1,RW 1,Rüstwagen für einfache technische Hilfeleistungen,,RüstGerätewagen,
RW2,RW 2,Rüstwagen für technische Hilfeleistungen größeren Umfangs,,RüstGerätewagen,
GW,GW,Gerätewagen,,RüstGerätewagen,
GW-G1,GW-G 1,Gerätewagen,"Gerätewagen Gefahrgut für den Umweltschutz, Größe 1",RüstGerätewagen,
GW-G2,GW-G 2,Gerätewagen,Gerätewagen Gefahrgut für den Umweltschutz Größe 2,RüstGerätewagen,
GW-G3,GW-G 3,Gerätewagen,"Gerätewagen Gefahrgut für den Umweltschutz, Größe 3",RüstGerätewagen,
VGW,VGW,Vorausgerätewagen,,RüstGerätewagen,
GW-A,GW-A,Gerätewagen-Atemschutz,,RüstGerätewagen,
GW-AS,GW-AS,Gerätewagen-Atemschutz/Strahlenschutz,,RüstGerätewagen,
GW-ACS,GW-ACS,Gerätewagen-Atem-/Chemie-/ Strahlenschutz,,RüstGerätewagen,
GW-AWG,GW-AWG,Gerätewagen-Atemschutz/Wasserrettung/Gasschutz,,RüstGerätewagen,
GW-Dekon,GW-Dekon,Gerätewagen-Dekontamination,,RüstGerätewagen,
GW-Funk,GW-Funk,Gerätewagen-Funktechnik,,RüstGerätewagen,
GW-G,GW-G,Gerätewagen-Gefahrgut (SF-G),,RüstGerätewagen,
GW-Grube,GW-Grube,Gerätewagen-Grubenrettung (BF Pforzheim),,RüstGerätewagen,
GW-Kran,GW-Kran,Gerätewagen-Kran (im Einsatz mit KW),,RüstGerätewagen,
GW-L,GW-L,Gerätewagen-Licht,,RüstGerätewagen,
GW-Meß,GW-Meß,Gerätewagen-Meßtechnik,,RüstGerätewagen,
GW-M/S,GW-M/S,Gerätewagen-Meßtechnik/Strahlenschutz,,RüstGerätewagen,
GW-N,GW-N,Gerätewagen-Nachschub (GW-T),,RüstGerätewagen,
GW-Öl,GW-Öl,Gerätewagen-Öl,,RüstGerätewagen,
GW-Ölsperre,GW-Ölsperre,Gerätewagen mit Ölsperre (BF Hagen),,RüstGerätewagen,
GW-S(tr),GW-S(tr),Gerätewagen-Strahlenschutz,,RüstGerätewagen,
GW-Str,GW-Str,Gerätewagen-Strahlenschutz,,RüstGerätewagen,
GW-Säure,GW-Säure,Gerätewagen für Säureunfälle,,RüstGerätewagen,
GW-T,GW-T,Gerätewagen-Technik (KLAF),,RüstGerätewagen,
GW-T1,GW-T,Gerätewagen-Transport,,RüstGerätewagen,
GW-U,GW-U,Gerätewagen-Umweltschutz,,RüstGerätewagen,
GW-VKU,GW-VKU,Gerätewagen-Verkehrsunfall,,RüstGerätewagen,
GW-W,GW-W,Gerätewagen-Wasserrettung,,RüstGerätewagen,
GW-W1,GW-W,Gerätewagen-Werkstatt,,RüstGerätewagen,
GW-Z,GW-Z,Gerätewagen-Zusatzbeladung,,RüstGerätewagen,
GWA,GWA,Gerätewagenanhänger,,RüstGerätewagen,
GWA-ÖL,GWA-ÖL,Gerätewagenanhänger (Öl),,RüstGerätewagen,
KTW,KTW,Krankentransportwagen,,Rettungsdienstfahrzeug,
RTW,RTW,Rettungswagen,,Rettungsdienstfahrzeug,
NAW,NAW,Notarztwagen,,Rettungsdienstfahrzeug,
NEF,NEF,Notarzt-Einsatzfahrzeug,,Rettungsdienstfahrzeug,
Baby-NAW,Baby-NAW,Baby-Notarztwagen,,Rettungsdienstfahrzeug,
BKW,BKW,Bestattungskraftwagen,,Rettungsdienstfahrzeug,
BTW,BTW,Behindertentransportwagen,,Rettungsdienstfahrzeug,
BTW1,BTW,Bettentransportwagen,,Rettungsdienstfahrzeug,
GKTW,GKTW,Großraum-Krankentransportwagen,,Rettungsdienstfahrzeug,
HRW,HRW,Hilfsrettungswagen (GW),,Rettungsdienstfahrzeug,
HTW,HTW,Hilfstransportwagen (GW-N/LKW),,Rettungsdienstfahrzeug,
ITH,ITH,Intensivtransporthubschrauber (spez. RTH),,Rettungsdienstfahrzeug,Flugzeug
ITW,ITW,Infektionskrankentransportwagen,,Rettungsdienstfahrzeug,
RRW,RRW,Rettungs-Rüstwagen (FlughafenFeuerwehr),,Rettungsdienstfahrzeug,
RTB,RTB,Rettungsboot (RB),,Rettungsdienstfahrzeug,Schiff
RTGW,RTGW,Rettungs-Gerätewagen (ex DDR),,Rettungsdienstfahrzeug,
RTH,RTH,Rettungshubschrauber,,Rettungsdienstfahrzeug,Flugzeug
RTZ,RTZ,Rettungszug der DB,,Rettungsdienstfahrzeug,Eisenbahn
ATrKW,ATrKW,Arzttruppkraftwagen,,Rettungsdienstfahrzeug,
FwA,FwA,Feuerwehranhänger,,Anhängerfahrzeug,
AL2,AL 16-4,Anhängeleiter ,Anhängeleiter mit mind. 16 m  Rettungshöhe und mind. 4 m Ausladung,Anhängerfahrzeug,
TroLA,TroLA,Trockenlöschanhänger,,Anhängerfahrzeug,
FwA-SWW,FwA-SWW,Anhänger mit Schaum-Wasserwerfer,,Anhängerfahrzeug,
FwA-P,FwA-P,"Feuerwehranhänger mit Pulver (PLA,P ...)",,Anhängerfahrzeug,
KOMPA,KOMPA,Kompressoranhänger,,Anhängerfahrzeug,
TSA,TSA,Tragkraftspritzenanhänger,,Anhängerfahrzeug,
TRA,TRA,Transportanhänger,,Anhängerfahrzeug,
PLA,PLA,Pulverlöschanhänger (FwA-P),,Anhängerfahrzeug,
TS2_5,TS 2/5,Tragkraftspritze mit FP 2/5,,Gerät,
TS4_5,TS 4/5,Tragkraftspritze mit FP 4/5,,Gerät,
TS8_8,TS 8/8,Tragkraftspritze mit FP 8/8,,Gerät,
LP24_3,LP 24/3,Lenzpumpe 24/3,,Gerät,
PA,PA,Pressluftatmer,,Gerät,
SSG,SSG,Sauerstoffschutzgerät,,Gerät,
AB,AB,"Abrollbehälter (WAB, WB)",,Feuerwehrfahrzeug,
AB-A,AB-A,Abrollbehälter-Atemschutz,,Feuerwehrfahrzeug,
AB-Atem,AB-Atem,Abrollbehälter-Atemschutz,,Feuerwehrfahrzeug,
AB-C02,AB-C02,Abrollbehälter-Kohlendioxid,,Feuerwehrfahrzeug,
AB-G,AB-G,Abrollbehälter-Gefahrgut,,Feuerwehrfahrzeug,
AB-GSG,AB-GSG,Abrollbehälter-Gefahrgut,,Feuerwehrfahrzeug,
AB-K,AB-K,Abrollbehälter-Kohlendioxid,,Feuerwehrfahrzeug,
AB-KatS,AB-KatS,Abrollbehälter-Katastrophenschutz,,Feuerwehrfahrzeug,
AB-Kran,AB-Kran,Abrollbehälter mit Kran,,Feuerwehrfahrzeug,
AB-NH3,AB-NH3,Abrollbehälter mit NH3-Wasser,,Feuerwehrfahrzeug,
AB-Öl,AB-Öl,Abrollbehälter-Öl,,Feuerwehrfahrzeug,
AB-Pritsche,AB-Pritsche,Abrollbehälter mit Ladefläche,,Feuerwehrfahrzeug,
AB-Res,AB-Res,Abrollbehälter Reserve,,Feuerwehrfahrzeug,
AB-Rüst,AB-Rüst,Abrollbehälter mit Rüstmaterial,,Feuerwehrfahrzeug,
AB-S,AB-S,Abrollbehälter-Schlauch,,Feuerwehrfahrzeug,
AB-S-1,AB-S-Bahn/LIcht,Abrollbehälter für S-Bahnunfälle und Beleuchtungszwecke,,Feuerwehrfahrzeug,
AB-Schaum,AB-Schaum,Abrollbehälter-Schaummittel,,Feuerwehrfahrzeug,
AB-SLM,AB-SLM,Abrollbehälter-Sonderlöschmittel,,Feuerwehrfahrzeug,
AB-T,AB-T,Abrollbehälter-Tank,,Feuerwehrfahrzeug,
AB-T-G,AB-T-G,Abrollbehälter-Tank-Gefahrgut,,Feuerwehrfahrzeug,
AB-U,AB-U/DEKO,Abrollbehälter-Umweltschutz/ Dekontamination,,Feuerwehrfahrzeug,
ADK,ADK,Autodrehkran (ex DDR (KW)),,Feuerwehrfahrzeug,
AKW,AKW,Abschleppkranwagen (BF Augsburg),,Feuerwehrfahrzeug,
ARK,ARK,Abrollkipper,,Feuerwehrfahrzeug,
ASW,ASW,Atemschutzwagen,,Feuerwehrfahrzeug,
AWW,AWW,Atemschutzwerkstattwagen,,Feuerwehrfahrzeug,
BLW,BLW,Beleuchtungswagen (Lim(a)F),,Feuerwehrfahrzeug,
BW,BW,Bootswagen (BF Frankfurt),,Feuerwehrfahrzeug,
ELF,ELF,Einsatzleitfahrzeug (ELW),,Feuerwehrfahrzeug,
ELW,ELW,"Einsatzleitwagen (ELF,Kdow,KoWg,ZFW)",,Feuerwehrfahrzeug,
Fernmelde,Fernmelde,Kfz Fernmelde-Kraftfahrzeug,,Feuerwehrfahrzeug,
Feuerlösch,Feuerlösch,Kfz Feuerwehrfahrzeug der Bundeswehr,,Feuerwehrfahrzeug,
FDW,FDW,Funkdienstwagen (FKW),,Feuerwehrfahrzeug,
Fkdow,Fkdow,Funkkommandowagen (FKW),,Feuerwehrfahrzeug,
FKW,FKW,"Funkkommandowagen (Fkdow, ähnlich FDW)",,Feuerwehrfahrzeug,
FKW1,FKW,Flutlichtfahrzeug,,Feuerwehrfahrzeug,
FLM,FLM,Flutlichtmast(-Fahrzeug) (Lim(a)F),,Feuerwehrfahrzeug,
FLM-F,FLM-F,Flutlichtmast(-Fahrzeug) (Lim(a)F),,Feuerwehrfahrzeug,
FLW,FLW,Flutlichtwagen (Lim(a)F),,Feuerwehrfahrzeug,
FüKW,FüKW,Führungskraftwagen (ELW),,Feuerwehrfahrzeug,
FwK,FwK,Feuerwehrkran (KW),,Feuerwehrfahrzeug,
GEW,GEW,"Großeinsatzw.(z.B ELW 3, GKTW) ",,Feuerwehrfahrzeug,
GMF,GMF,Gefahrstoff-Meßfahrzeug (GMW),,Feuerwehrfahrzeug,
GMW,GMW,Gasmeßwagen (BF Frankfurt) (GMF),,Feuerwehrfahrzeug,
GRTW,GRTW,Großraum-Rettungswagen,,Rettungsdienstfahrzeug,
GSW,GSW,Gasschutzwagen (BF Frankfurt),,Feuerwehrfahrzeug,
KEF,KEF,Kleineinsatzfahrzeug (KLAF),,Feuerwehrfahrzeug,
KELW,KELW,Katastrophen-Einsatzleitwagen,,Feuerwehrfahrzeug,
Kdow,Kdow,"Kommandowagen (ELW,KoWg)",,Feuerwehrfahrzeug,
Kfz,Kfz,Kraftfahrzeug,,Feuerwehrfahrzeug,
KLAF,KLAF,Kleinarlarmfahrzeug (KEF),,Feuerwehrfahrzeug,
KLAF-Öl,KLAF-Öl,Kleinarlarmfahrzeug-Öl (kleiner GW-Öl),,Feuerwehrfahrzeug,
KoWg,KoWg,"Kommandowagen (ELW,Kdow)",,Feuerwehrfahrzeug,
KW,KW,Kranwagen,,Feuerwehrfahrzeug,
LB1,LB,Leiterbühne,,Feuerwehrfahrzeug,
LB-CC,LB..CC,Leiterbühne mit Computercontrolle,,Feuerwehrfahrzeug,
LimA,LimA,Lichtmastanhänger,,Anhängerfahrzeug,
LimF,LimF,"Lichtmastf. (LIMA(FLF, FLW, FLM-F))",,Feuerwehrfahrzeug,
LimaF,LimaF,"Lichtmastf. (LIMA(FLF, FLW, FLM-F))",,Feuerwehrfahrzeug,
LKW,LKW,Lastkraftwagen (z.B. als GW-N),,Feuerwehrfahrzeug,
MeF-G,MeF-G,Meßfahrzeug-Gefahrgut,,Feuerwehrfahrzeug,
MLW,MLW,Meßleitwagen,,Feuerwehrfahrzeug,
MTF,MTF,Mannschaftstransportfahrzeug (MTW),,Feuerwehrfahrzeug,
MTW,MTW,Mannschaftstransportwagen (MTF),,Feuerwehrfahrzeug,
MTW-P,MTW-P,MTW mit mehreren PA's ,,Feuerwehrfahrzeug,
MW,MW,Meßwagen,,Feuerwehrfahrzeug,
MZB,MZB,Mehrzweckboot,,Feuerwehrfahrzeug,
MZF,MZF,Mehrzweckfahrzeug,,Feuerwehrfahrzeug,
ÖSA,ÖSA,Ölschadenanhänger,,Anhängerfahrzeug,
ÖSWF,ÖSWF,Ölspur-Waschsaugfahrzeug ,,Feuerwehrfahrzeug,
P 250,P 250,Pulverlöschanhänger mit 250 kg Pulver,,Feuerwehrfahrzeug,
PKW,PKW,Personenkraftwagen (z.B. für Einsatzleiter),,Feuerwehrfahrzeug,
PLF,PLF,Pulverlöschfahrzeug (TroLF),,Feuerwehrfahrzeug,
PTLF,PTLF,Pulvertanklöschfahrzeug (TroTLF),,Feuerwehrfahrzeug,
RADL,RADL,Radlader,,Feuerwehrfahrzeug,
RB,RB,Rettungsboot (RTB),,Rettungsdienstfahrzeug,Schiff
RBA,RBA,Rettungsboot-Anhänger,,Anhängerfahrzeug,
RIV,RIV,Rapid Intervention Vehicle (englisch(VLF)),,Anhängerfahrzeug,
RKW,RKW,Rüstkranwagen,,RüstGerätewagen,
RW,RW,Rüstwagen,,RüstGerätewagen,
RW-3,RW 3 ST,Rüstwagen 3 Staffelbesatzung,,RüstGerätewagen,
RW-G,RW-G,Rüstwagen-Gefahrgut,,RüstGerätewagen,
RW-Kran,RW-Kran,Rüstwagen mit Kran,,RüstGerätewagen,
RW-ÖL,RW-ÖL,Rüstwagen-Öl,,RüstGerätewagen,
RW-Schiene,RW-Schiene,Rüstwagen für Eisenbahnunfälle,,RüstGerätewagen,
RW-TUIS,RW-TUIS,Rüstwagen der in das TUIS System eingebunden ist,,RüstGerätewagen,
RW-U,RW-U,Rüstwagen-Umweltschutz,,RüstGerätewagen,
RW-W,RW-W,Rüstwagen-Wasserrettung,,RüstGerätewagen,
RZ,RZ,Rüstzug (z.B. ELW + RW + TLF + KW),,RüstGerätewagen,
SchWaWE,SchWaWE,Schaum-Wasser-Werfer (auf Anhänger) (FwA-SWW),,RüstGerätewagen,
SF-G,SF-G,Sonderfahrzeug-Gefahrgut (GW-G),,RüstGerätewagen,
SKW,SKW,Schlauchkraftwagen (SW),,RüstGerätewagen,
SW,SW,Schlauchwagen (SKW),,RüstGerätewagen,
SW-Tr,SW-Tr,Schlauchwagen mit Truppbesatzung,,RüstGerätewagen,
SWA,SWA,Schaum-Wasserwerferanhänger (FwA-SWW),,RüstGerätewagen,
SWW,SWW,Schaum-Wasserwerfer auf Anhänger (FwA-SWW),,RüstGerätewagen,
TF,TF,Transportfahrzeug (LKW),,Feuerwehrfahrzeug,
TLF-H,TLF-H,TLF-Hilfeleistung (HTLF),,Feuerwehrfahrzeug,
TROWA,TROWA,Frankfurter Kürzel für TroTLF 16,,Feuerwehrfahrzeug,
TSF-GW,TSF-GW,TSF mit Zusatzbeladung Technische Hilfeleistung,,Feuerwehrfahrzeug,
TSF-T,TSF-T,TSF mit Truppbesatzung,,Feuerwehrfahrzeug,
TTW,TTW,Tiertransportwagen ,,Feuerwehrfahrzeug,
TW,TW,Taucherwagen,,Feuerwehrfahrzeug,
UAB,UAB,Unimog mit Abrollbehälter ,,Feuerwehrfahrzeug,
VLKW,VLKW,Versorgungslastkraftwagen (GW-N),,Feuerwehrfahrzeug,
VRW,VRW,Vorausrüstwagen,,RüstGerätewagen,
VRW/C,VRW/C,Vorausrüstwagen-Chemie,,RüstGerätewagen,
WAB,WAB,Wechselabrollbehälter (AB),,Feuerwehrfahrzeug,
WAB-G,WAB-G,(-GSG) Wechselabrollbeh. Gefahrgut (AB-G),,Feuerwehrfahrzeug,
WAF,WAF,Wechselabroll(behälter)fahrzeug,,Feuerwehrfahrzeug,
WAF-Boot,WAF-Boot,Wechselabroll(behälter)fahrzeug mit Boot,,Feuerwehrfahrzeug,
WB,WB,Wechselbehälter (AB),,Feuerwehrfahrzeug,
WL,WL,Wechsellader(fahrzeug),,Feuerwehrfahrzeug,
WLF,WLF,Wechsellader(fahrzeug),,Feuerwehrfahrzeug,
WLA,WLA,Wechselladerabrollbehälter,,Feuerwehrfahrzeug,
WTF,WTF,Wassertransportfahrzeug,,Feuerwehrfahrzeug,
WTrKW,WTrKW,Wasserversorgungstruppwagen,,Feuerwehrfahrzeug,
WW,WW,Werkstattwagen (GW-W(erkstatt)),,Feuerwehrfahrzeug,
AL2,AL,Anhängeleiter,,Anhängerfahrzeug,
4TW,4TW,4-Tragenwagen (KTW mit 4 Tragen),,Feuerwehrfahrzeug,
DMF,DMF,Dekontaminierungsmehrzweckfahrzeug,,Feuerwehrfahrzeug,
EF,EF,Entgiftungsfahrzeug,,Feuerwehrfahrzeug,
Fekw,Fekw,Fernsprechkraftwagen (zum Feldkabelbau),,Feuerwehrfahrzeug,
Fukow,Fukow,Funkkommandowagen (gleich Fkdow),,Feuerwehrfahrzeug,
GKW,GKW,Gerätekraftwagen,,Feuerwehrfahrzeug,
HDF,HDF,Heißdekontaminierungsfahrzeug,,Feuerwehrfahrzeug,
MKW,MKW,Mannschaftskraftwagen,,Feuerwehrfahrzeug,
